fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_,positivos_totales,tasa_positividad,tasa_positividad
2020-07-05,783,243,665,199,0.3103448275862069,0.2992481203007519
2020-07-06,3386,1224,2763,989,0.3614884819846427,0.35794426348172276
2020-07-07,3357,1290,2715,998,0.38427167113494193,0.3675874769797422
2020-07-08,3342,1232,2868,1051,0.3686415320167564,0.36645746164574616
2020-07-09,3006,1005,2425,738,0.3343313373253493,0.3043298969072165
2020-07-10,3100,989,2589,829,0.31903225806451613,0.3202008497489378
2020-07-11,1035,351,841,286,0.3391304347826087,0.3400713436385256
2020-07-12,750,265,631,227,0.35333333333333333,0.35974643423137875
2020-07-13,3505,1337,2924,1085,0.38145506419400854,0.3710670314637483
2020-07-14,3451,1265,2878,1038,0.36656041727035643,0.3606671299513551
2020-07-15,4411,1408,3827,1162,0.3192019950124688,0.3036320877972302
2020-07-16,4311,1377,3739,1127,0.31941544885177453,0.3014174913078363
2020-07-17,4340,1250,3846,1071,0.2880184331797235,0.2784711388455538
2020-07-18,1801,619,1619,554,0.34369794558578565,0.34218653489808526
2020-07-19,930,296,808,244,0.31827956989247314,0.30198019801980197
2020-07-20,4048,1391,3472,1149,0.3436264822134387,0.3309331797235023
2020-07-21,3755,1221,3195,1038,0.32516644474034623,0.3248826291079812
2020-07-22,4180,1463,3679,1318,0.35,0.35824952432726287
2020-07-23,3768,1265,3258,1106,0.3357218683651805,0.33947206875383673
2020-07-24,3749,1093,3256,951,0.29154441184315816,0.29207616707616707
2020-07-25,1352,433,1187,380,0.3202662721893491,0.3201347935973041
2020-07-26,912,301,784,250,0.3300438596491228,0.31887755102040816
2020-07-27,3560,1269,2964,1069,0.35646067415730337,0.3606612685560054
2020-07-28,3626,1124,3076,933,0.3099834528405957,0.3033159947984395
2020-07-29,3765,1131,3362,1003,0.300398406374502,0.2983343248066627
2020-07-30,3896,1249,3394,1080,0.3205852156057495,0.3182086034177961
2020-07-31,3758,1185,3258,1006,0.31532730175625334,0.3087783916513198
2020-08-01,1487,444,1295,396,0.29858776059179554,0.30579150579150577
2020-08-02,822,272,685,227,0.3309002433090024,0.33138686131386863
2020-08-03,3076,1015,2641,860,0.32997399219765927,0.3256342294585384
2020-08-04,3832,1226,3295,1041,0.319937369519833,0.3159332321699545
2020-08-05,3691,1245,3207,1057,0.33730696288268763,0.32959151855316493
2020-08-06,3453,1017,2974,880,0.2945264986967854,0.29589778076664425
2020-08-07,3744,1096,3213,963,0.29273504273504275,0.29971988795518206
2020-08-08,1385,396,1217,349,0.28592057761732853,0.2867707477403451
2020-08-09,721,207,588,176,0.2871012482662968,0.29931972789115646
2020-08-10,3500,1101,2932,915,0.31457142857142856,0.3120736698499318
2020-08-11,3924,1269,3467,1111,0.32339449541284404,0.3204499567349293
2020-08-12,3890,1164,3331,1004,0.2992287917737789,0.30141098769138397
2020-08-13,3859,1070,3346,951,0.27727390515677636,0.28421996413628214
2020-08-14,4123,1221,3509,1035,0.29614358476837255,0.29495582787118835
2020-08-15,1497,439,1309,386,0.29325317301269205,0.29488158899923606
2020-08-16,741,216,620,175,0.291497975708502,0.28225806451612906
2020-08-17,3584,1162,3075,986,0.32421875,0.32065040650406507
2020-08-18,3909,1354,3452,1195,0.3463801483755436,0.34617612977983775
2020-08-19,4006,1262,3532,1119,0.31502745881178235,0.3168176670441676
2020-08-20,3229,957,2782,832,0.2963765871786931,0.29906542056074764
2020-08-21,4050,1228,3519,1054,0.30320987654320986,0.2995169082125604
2020-08-22,1473,429,1276,384,0.29124236252545826,0.30094043887147337
2020-08-23,737,255,615,217,0.34599728629579374,0.35284552845528455
2020-08-24,3940,1371,3274,1133,0.3479695431472081,0.3460598656078192
2020-08-25,3644,1322,2981,1066,0.362788144895719,0.3575981214357598
2020-08-26,5137,1628,4551,1442,0.3169164882226981,0.3168534388046583
2020-08-27,5142,1441,4529,1250,0.28024115130299493,0.27599911680282624
2020-08-28,5197,1383,4585,1212,0.2661150663844526,0.264340239912759
2020-08-29,2111,540,1826,481,0.25580293699668405,0.2634173055859803
2020-08-30,920,279,721,240,0.3032608695652174,0.332871012482663
2020-08-31,4158,1385,3476,1104,0.3330928330928331,0.3176064441887227
2020-09-01,5163,1773,4558,1530,0.3434049970947124,0.3356735410267661
2020-09-02,5372,1759,4704,1508,0.3274385703648548,0.320578231292517
2020-09-03,5520,1543,4759,1323,0.27952898550724636,0.27799957974364364
2020-09-04,5319,1479,4697,1266,0.27805978567399886,0.269533744943581
2020-09-05,1999,547,1738,465,0.2736368184092046,0.2675489067894131
2020-09-06,1145,335,952,285,0.2925764192139738,0.29936974789915966
2020-09-07,4018,1250,3381,1037,0.31110004977600797,0.3067139899438036
2020-09-08,4999,1620,4385,1410,0.32406481296259254,0.3215507411630559
2020-09-09,5107,1450,4451,1272,0.2839240258468768,0.28577847674679846
2020-09-10,5514,1379,4804,1204,0.2500906782734857,0.25062447960033307
2020-09-11,4918,1273,4357,1134,0.2588450589670598,0.2602708285517558
2020-09-12,2126,672,1900,609,0.3160865475070555,0.32052631578947366
2020-09-13,706,231,576,193,0.3271954674220963,0.3350694444444444
2020-09-14,4185,1253,3537,1040,0.2994026284348865,0.29403449250777497
2020-09-15,3169,940,2720,810,0.2966235405490691,0.2977941176470588
2020-09-16,578,194,479,161,0.3356401384083045,0.33611691022964507
2020-09-17,4445,1495,3826,1277,0.3363329583802025,0.3337689492943021
2020-09-18,4536,1380,3970,1202,0.30423280423280424,0.30277078085642317
2020-09-19,1913,614,1672,552,0.32096184004181916,0.33014354066985646
2020-09-20,795,285,657,243,0.3584905660377358,0.3698630136986301
2020-09-21,3604,1197,3097,1017,0.3321309655937847,0.3283823054568938
2020-09-22,4575,1447,3996,1287,0.3162841530054645,0.32207207207207206
2020-09-23,4404,1416,3781,1214,0.3215258855585831,0.3210790796085692
2020-09-24,4224,1263,3722,1108,0.2990056818181818,0.29768941429339063
2020-09-25,4381,1298,3758,1134,0.2962793882675188,0.30175625332623734
2020-09-26,2102,689,1847,608,0.32778306374881067,0.32918245804006496
2020-09-27,860,295,706,261,0.3430232558139535,0.3696883852691218
2020-09-28,4306,1406,3670,1194,0.32652113330236876,0.32534059945504085
2020-09-29,4445,1410,3867,1264,0.3172103487064117,0.3268683734160848
2020-09-30,4368,1356,3784,1209,0.31043956043956045,0.3195031712473573
2020-10-01,3990,1292,3497,1146,0.3238095238095238,0.32770946525593364
2020-10-02,4377,1161,3780,1011,0.26525017135023987,0.26746031746031745
2020-10-03,1781,557,1583,499,0.31274564851207187,0.31522425773847124
2020-10-04,748,282,636,243,0.3770053475935829,0.38207547169811323
2020-10-05,3764,1297,3153,1095,0.34458023379383634,0.3472882968601332
2020-10-06,4476,1382,3941,1214,0.3087578194816801,0.30804364374524235
2020-10-07,4789,1362,4162,1199,0.2844017540196283,0.2880826525708794
2020-10-08,4492,1271,3944,1140,0.2829474621549421,0.28904665314401623
2020-10-09,4485,1298,3968,1171,0.28940914158305464,0.2951108870967742
2020-10-10,1602,484,1389,422,0.3021223470661673,0.30381569474442044
2020-10-11,861,286,737,261,0.3321718931475029,0.3541383989145183
2020-10-12,4502,1404,3838,1210,0.3118613949355842,0.3152683689421574
2020-10-13,5615,1743,4847,1471,0.31041852181656276,0.3034866927996699
2020-10-14,4989,1370,4369,1200,0.2746041290839848,0.2746623941405356
2020-10-15,4429,1410,3888,1261,0.3183562881011515,0.3243312757201646
2020-10-16,5512,1693,4883,1492,0.3071480406386067,0.3055498668851116
2020-10-17,2164,665,1922,591,0.30730129390018485,0.30749219562955254
2020-10-18,1121,372,975,308,0.33184656556645853,0.3158974358974359
2020-10-19,6627,2151,5961,1868,0.3245812584880036,0.31337023989263546
2020-10-20,7311,2231,6488,1971,0.3051566133223909,0.3037916152897657
2020-10-21,7121,1931,6278,1720,0.27116977952534754,0.273972602739726
2020-10-22,7644,1941,6734,1713,0.25392464678178966,0.25438075438075436
2020-10-23,7308,1975,6506,1755,0.27025177887246854,0.2697509990777744
2020-10-24,2384,718,2102,624,0.3011744966442953,0.29686013320647003
2020-10-25,1556,491,1337,417,0.31555269922879176,0.3118922961854899
2020-10-26,7612,2249,6657,1944,0.29545454545454547,0.29202343397926994
2020-10-27,8187,2180,7270,1926,0.26627580310247956,0.26492434662998626
2020-10-28,8105,2147,7191,1937,0.264898210980876,0.2693644833820053
2020-10-29,7794,1869,6770,1601,0.23979984603541185,0.2364844903988183
2020-10-30,6758,1787,5815,1541,0.2644273453684522,0.2650042992261393
2020-10-31,2165,739,1920,651,0.34133949191685914,0.3390625
2020-11-01,994,389,825,320,0.39134808853118713,0.3878787878787879
2020-11-02,2017,707,1756,628,0.3505205751115518,0.357630979498861
2020-11-03,6963,2410,6063,2087,0.346115180238403,0.3442190334817747
2020-11-04,6996,2222,6146,1979,0.31761006289308175,0.321998047510576
2020-11-05,6771,2081,6038,1886,0.30734012701225816,0.31235508446505467
2020-11-06,6469,1935,5736,1722,0.2991188746328644,0.3002092050209205
2020-11-07,2608,890,2288,786,0.3412576687116564,0.34353146853146854
2020-11-08,1036,440,823,347,0.4247104247104247,0.42162818955042525
2020-11-09,7302,2587,6385,2270,0.35428649685017805,0.35552075176194203
2020-11-10,7942,2683,6969,2319,0.33782422563586,0.332759362892811
2020-11-11,6887,2083,5979,1827,0.30245389864962974,0.305569493226292
2020-11-12,6601,1845,5766,1622,0.2795031055900621,0.28130419701699616
2020-11-13,6599,1900,5837,1676,0.28792241248674044,0.2871338016104163
2020-11-14,2125,693,1847,586,0.3261176470588235,0.31727125067677314
2020-11-15,1020,366,888,325,0.3588235294117647,0.36599099099099097
2020-11-16,822,342,701,288,0.41605839416058393,0.4108416547788873
2020-11-17,6641,1999,5808,1725,0.3010088842041861,0.297004132231405
2020-11-18,6569,2219,5711,1891,0.33779875171258944,0.33111539135002627
2020-11-19,6940,2180,6079,1927,0.31412103746397696,0.3169929264681691
2020-11-20,6382,1904,5543,1633,0.29833907865872766,0.2946058091286307
2020-11-21,3741,1216,3338,1073,0.32504677893611333,0.32144997004194126
2020-11-22,2486,1492,2077,1229,0.6001609010458568,0.5917188252286952
2020-11-23,8860,3400,7655,2836,0.3837471783295711,0.370476812540823
2020-11-24,10244,3127,8865,2759,0.30525185474424055,0.31122391426959956
2020-11-25,10377,2593,8966,2260,0.2498795412932447,0.2520633504349766
2020-11-26,10570,2774,9112,2413,0.26244087038789027,0.26481562774363476
2020-11-27,10316,2758,8968,2400,0.26735168670027143,0.26761819803746656
2020-11-28,4214,1047,3693,884,0.24845752254390127,0.23937178445708096
2020-11-29,2419,735,2064,631,0.30384456386936753,0.3057170542635659
2020-11-30,11575,3218,10009,2744,0.27801295896328293,0.27415326206414226
2020-12-01,12974,3423,11219,2972,0.2638353630337598,0.2649077457883947
2020-12-02,14519,3637,12487,3122,0.2504993456849645,0.25002002082165453
2020-12-03,14891,3747,12930,3254,0.25162850043650525,0.2516627996906419
2020-12-04,15622,3888,13370,3306,0.24887978491870438,0.24727000747943156
2020-12-05,5456,1473,4826,1290,0.2699780058651026,0.2673021135515955
2020-12-06,3404,939,2879,774,0.27585193889541715,0.26884334838485585
2020-12-07,16410,4710,14051,4012,0.2870201096892139,0.28553127891253294
2020-12-08,18029,4857,15411,4091,0.2693993011259637,0.26545973655181365
2020-12-09,17079,4596,14614,3873,0.2691024064640787,0.26501984398521966
2020-12-10,17743,4541,15314,3889,0.255931916812264,0.2539506334073397
2020-12-11,17026,4373,14616,3752,0.25684247621285095,0.2567049808429119
2020-12-12,5711,1735,4989,1510,0.3037996848187708,0.30266586490278613
2020-12-13,3336,1040,2740,854,0.3117505995203837,0.3116788321167883
2020-12-14,17389,5104,14539,4274,0.29351889125309105,0.2939679482770479
2020-12-15,17149,5028,14581,4256,0.29319493848037786,0.2918867018722996
2020-12-16,16641,4929,13920,4127,0.2961961420587705,0.29647988505747125
2020-12-17,16883,4655,14184,3886,0.2757211396078896,0.273970671178793
2020-12-18,17509,4934,15002,4108,0.2817979324918613,0.2738301559792028
2020-12-19,6760,1761,5949,1516,0.26050295857988165,0.25483274499915953
2020-12-20,3947,1051,3227,859,0.2662781859640233,0.2661915091416176
2020-12-21,18341,5662,15722,4823,0.3087072678697999,0.3067675868210151
2020-12-22,17414,4910,15015,4164,0.28195704605489835,0.27732267732267735
2020-12-23,16728,4668,14527,3992,0.27905308464849354,0.2747986507881875
2020-12-24,12972,3453,11413,2987,0.2661887141535615,0.2617190922632086
2020-12-25,2562,840,2083,661,0.32786885245901637,0.3173307729236678
2020-12-26,5454,1594,4660,1377,0.29226255958929226,0.29549356223175965
2020-12-27,3734,1064,3173,894,0.2849491162292448,0.28175228490387644
2020-12-28,16168,4451,14057,3913,0.27529688273132114,0.278366650067582
2020-12-29,17443,4696,15222,4057,0.2692197443100384,0.2665221390093286
2020-12-30,16469,4205,14452,3637,0.2553281923614063,0.2516606698034874
2020-12-31,12833,3435,11432,2984,0.2676692901114315,0.2610216934919524
2021-01-01,2828,812,2474,704,0.2871287128712871,0.28455941794664513
2021-01-02,4697,1566,3987,1331,0.3334043006174154,0.33383496363180337
2021-01-03,4290,1328,3508,1091,0.3095571095571096,0.31100342075256554
2021-01-04,15802,4541,13770,3926,0.2873686875079104,0.2851125635439361
2021-01-05,18077,5127,15607,4487,0.28362006970183107,0.2874991990773371
2021-01-06,17739,4961,15456,4281,0.279666272055922,0.2769798136645963
2021-01-07,20145,5326,17166,4609,0.26438322164308764,0.26849586391704533
2021-01-08,18516,4876,15651,4147,0.2633398142147332,0.2649670947543288
2021-01-09,7305,2215,6360,1930,0.30321697467488024,0.30345911949685533
2021-01-10,5337,1418,4345,1209,0.26569233651864343,0.2782508630609896
2021-01-11,19950,5461,17095,4769,0.273734335839599,0.2789704591985961
2021-01-12,22128,6227,18935,5355,0.2814081706435286,0.2828096118299446
2021-01-13,21970,5779,18784,4989,0.2630405097860719,0.26559838160136284
2021-01-14,27162,7709,23449,6852,0.28381562476989913,0.2922086229689965
2021-01-15,24779,7175,21537,6330,0.2895597078171032,0.29391280122579744
2021-01-16,10282,3031,9036,2728,0.29478700641898464,0.3019034971226206
2021-01-17,8335,2395,7113,2105,0.28734253149370126,0.2959370167299311
2021-01-18,24706,7319,21448,6319,0.29624382741034566,0.2946195449459157
2021-01-19,26867,7346,23114,6352,0.27342092529869355,0.2748118023708575
2021-01-20,26151,7375,22611,6429,0.28201598409238654,0.28433063553137855
2021-01-21,26533,6613,22676,5718,0.2492367994572796,0.25216087493385075
2021-01-22,25239,5827,21478,4969,0.23087285550140654,0.2313530123847658
2021-01-23,9137,2297,7735,1989,0.25139542519426505,0.2571428571428571
2021-01-24,7161,1683,6097,1502,0.2350230414746544,0.24635066426111202
2021-01-25,23894,5660,20472,4818,0.2368795513518038,0.23534583821805394
2021-01-26,23638,4909,20232,4290,0.20767408410186988,0.21204033214709372
2021-01-27,26720,5571,23077,4903,0.20849550898203592,0.21246262512458292
2021-01-28,24346,5015,20866,4362,0.20598866343547195,0.20904821240295218
2021-01-29,21830,4260,18894,3656,0.19514429683921208,0.19350058219540595
2021-01-30,8486,1408,7139,1200,0.16592033938251238,0.16809076901526823
2021-01-31,6048,1007,5101,858,0.16650132275132276,0.16820231327190746
2021-02-01,5306,1055,4570,897,0.19883151149641914,0.1962800875273523
2021-02-02,20791,4232,18099,3674,0.2035496128132365,0.20299464058787778
2021-02-03,23113,4022,19978,3433,0.1740146238047852,0.17183902292521774
2021-02-04,19790,3377,16926,2938,0.17064173825164225,0.17357910906298002
2021-02-05,19472,3202,16970,2854,0.16444124897288415,0.1681791396582204
2021-02-06,6493,1070,5623,914,0.16479285384259973,0.16254668326516095
2021-02-07,4568,663,3959,565,0.14514010507880912,0.14271280626420813
2021-02-08,18844,3405,16284,2961,0.18069412014434302,0.1818349299926308
2021-02-09,20019,3402,17217,2893,0.16993855836954894,0.16803159667770226
2021-02-10,19542,3162,16644,2678,0.1618053423395763,0.1608988223984619
2021-02-11,17738,2673,15010,2252,0.15069342654188747,0.15003331112591606
2021-02-12,18154,2797,15587,2462,0.15407072821416767,0.15795213960351576
2021-02-13,5585,960,4892,825,0.1718889883616831,0.1686426819296811
2021-02-14,3757,479,3344,426,0.127495342028214,0.12739234449760767
2021-02-15,18214,2840,15646,2470,0.155924014494345,0.1578678256423367
2021-02-16,17270,2629,15033,2304,0.15222929936305732,0.15326282179205747
2021-02-17,17280,2530,14793,2208,0.14641203703703703,0.14925978503346177
2021-02-18,16873,2275,14349,1976,0.13483079476086055,0.13770994494389852
2021-02-19,15772,2359,13733,2079,0.1495688562008623,0.15138716959149495
2021-02-20,5232,831,4460,704,0.1588302752293578,0.15784753363228698
2021-02-21,3578,485,3008,419,0.13555058692006708,0.13929521276595744
2021-02-22,17160,2750,14800,2378,0.16025641025641027,0.16067567567567567
2021-02-23,16760,2554,14399,2275,0.15238663484486872,0.15799708313077296
2021-02-24,16146,2346,13834,2088,0.1452991452991453,0.15093248518143704
2021-02-25,14796,2205,12578,1964,0.14902676399026765,0.1561456511369057
2021-02-26,15073,2065,12897,1812,0.13699993365620647,0.14049779018376365
2021-02-27,4928,777,4083,683,0.15767045454545456,0.16727896154788147
2021-02-28,4097,509,3444,444,0.12423724676592629,0.1289198606271777
2021-03-01,16498,2668,13900,2312,0.16171657170566128,0.16633093525179857
2021-03-02,14875,2179,12694,1891,0.14648739495798319,0.14896801638569404
2021-03-03,15959,2334,13523,2046,0.1462497650228711,0.1512977889521556
2021-03-04,13388,2055,11427,1833,0.15349566776217508,0.16040955631399317
2021-03-05,11542,1797,9819,1598,0.1556922543753249,0.16274569711783277
2021-03-06,5646,718,4664,643,0.1271696776478923,0.13786449399656947
2021-03-07,3999,506,3282,423,0.12653163290822705,0.12888482632541134
2021-03-08,14761,2386,12815,2054,0.16164216516496172,0.16028092079594225
2021-03-09,13650,2020,11998,1778,0.147985347985348,0.14819136522753792
2021-03-10,12273,1759,10420,1553,0.14332274097612646,0.14904030710172744
2021-03-11,12095,1684,10341,1491,0.1392310872261265,0.14418334783870032
2021-03-12,12153,1626,10396,1447,0.13379412490743026,0.13918814928818776
2021-03-13,3900,574,3325,508,0.14717948717948717,0.15278195488721805
2021-03-14,2096,319,1790,276,0.15219465648854963,0.15418994413407822
2021-03-15,2638,354,2299,318,0.13419257012888552,0.13832100913440626
2021-03-16,13734,2014,11851,1770,0.14664336682685306,0.14935448485359884
2021-03-17,13036,1684,11245,1475,0.12918073028536362,0.13116940862605603
2021-03-18,12105,1480,10419,1319,0.12226352746798844,0.12659564257606296
2021-03-19,10899,1233,9317,1092,0.11312964492155243,0.11720510894064613
2021-03-20,3419,508,2897,408,0.14858145656624744,0.14083534691059718
2021-03-21,2394,319,2109,269,0.13324979114452798,0.12754860123281175
2021-03-22,14098,1679,12089,1473,0.1190949070790183,0.12184630655968236
2021-03-23,11896,1535,10134,1381,0.12903496973772696,0.1362739293467535
2021-03-24,12308,1294,10388,1124,0.1051348716282093,0.10820177127454755
2021-03-25,10929,1149,9399,1028,0.10513313203403789,0.10937333758910522
2021-03-26,9150,1086,7748,976,0.11868852459016394,0.12596799173980383
2021-03-27,3799,438,3213,375,0.11529349828902342,0.11671335200746966
2021-03-28,2038,253,1736,226,0.12414131501472031,0.13018433179723501
2021-03-29,11213,1363,9671,1160,0.1215553375546241,0.1199462309998966
2021-03-30,11567,1237,9955,1084,0.10694216305005619,0.10889000502260171
2021-03-31,9626,1183,8339,1033,0.12289632246000416,0.1238757644801535
2021-04-01,8664,700,7400,604,0.08079409048938135,0.08162162162162162
2021-04-02,5830,560,4924,480,0.09605488850771869,0.09748172217709179
2021-04-03,1504,217,1336,191,0.14428191489361702,0.14296407185628743
2021-04-04,1534,240,1320,189,0.15645371577574968,0.1431818181818182
2021-04-05,10076,1197,8584,1039,0.11879714172290591,0.12103914259086673
2021-04-06,9677,1203,8306,1052,0.12431538700010333,0.12665542980977607
2021-04-07,10149,1160,8738,1031,0.1142969750714356,0.11799038681620508
2021-04-08,10929,1038,9305,915,0.09497666758166347,0.09833422890918861
2021-04-09,9907,1032,8376,900,0.10416876955687897,0.10744985673352435
2021-04-10,3659,458,3153,388,0.12517081169718502,0.12305740564541706
2021-04-11,2834,242,2357,191,0.08539167254763586,0.08103521425540942
2021-04-12,11453,1204,9523,1047,0.1051252946826159,0.10994434526934789
2021-04-13,12882,1175,10858,1008,0.0912125446359261,0.0928347762018788
2021-04-14,10003,831,8636,754,0.08307507747675698,0.087308939323761
